Indicator,Value,Year,Footnote,Source,Economy,Country Code,Region,Theme,Definition,Unit
Net Errors and Omissions,-11175900,1998,Follows the IMF Balance of Payment Manual 5 format starting 2002.,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,"Data for balance of payments estimates often are derived independently from different sources; as a result, there may be a summary net credit or net debit (i.e., net errors and omissions in the accounts). A separate entry, equal to that amount with the sign reversed, is then made to balance the accounts.",US Dollar
Net Errors and Omissions,-11421820,1999,Follows the IMF Balance of Payment Manual 5 format starting 2002.,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,"Data for balance of payments estimates often are derived independently from different sources; as a result, there may be a summary net credit or net debit (i.e., net errors and omissions in the accounts). A separate entry, equal to that amount with the sign reversed, is then made to balance the accounts.",US Dollar
Net Errors and Omissions,13020830,2000,Follows the IMF Balance of Payment Manual 5 format starting 2002.,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,"Data for balance of payments estimates often are derived independently from different sources; as a result, there may be a summary net credit or net debit (i.e., net errors and omissions in the accounts). A separate entry, equal to that amount with the sign reversed, is then made to balance the accounts.",US Dollar
Overall Balance,59024290,1998,Follows the IMF Balance of Payment Manual 5 format starting 2002.,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,"Equal to the sum of current and capital and financial account transactions, with the exclusion of transactions in reserve assets and exceptional financing.",US Dollar
Overall Balance,441824160,1999,Follows the IMF Balance of Payment Manual 5 format starting 2002.,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,"Equal to the sum of current and capital and financial account transactions, with the exclusion of transactions in reserve assets and exceptional financing.",US Dollar
Overall Balance,-64553090,2000,Follows the IMF Balance of Payment Manual 5 format starting 2002.,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,"Equal to the sum of current and capital and financial account transactions, with the exclusion of transactions in reserve assets and exceptional financing.",US Dollar
Reserves and Related Items,64553090,2000,Follows the IMF Balance of Payment Manual 5 format starting 2002.,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,"Refers to the sum of transactions in reserves assets, exceptional financing, and use of Fund credit and loans.",US Dollar
External Trade: Exports (fob),2527519180,1996,"From 1995 onward, data are based on balance of payments estimates. Data for 2000 are based on balance of payments estimates.",Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,"Covers all movable goods, with a few specified exceptions, the ownership of which changes between a resident and a foreigner.",US Dollar
External Trade: Exports (fob),2141212960,1997,"From 1995 onward, data are based on balance of payments estimates. Data for 2000 are based on balance of payments estimates.",Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,"Covers all movable goods, with a few specified exceptions, the ownership of which changes between a resident and a foreigner.",US Dollar
External Trade: Exports (fob),1787720813,1998,"From 1995 onward, data are based on balance of payments estimates. Data for 2000 are based on balance of payments estimates.",Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,"Covers all movable goods, with a few specified exceptions, the ownership of which changes between a resident and a foreigner.",US Dollar
External Trade: Exports (fob),1947276497,1999,"From 1995 onward, data are based on balance of payments estimates. Data for 2000 are based on balance of payments estimates.",Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,"Covers all movable goods, with a few specified exceptions, the ownership of which changes between a resident and a foreigner.",US Dollar
External Trade: Exports (fob),2089383788,2000,"From 1995 onward, data are based on balance of payments estimates. Data for 2000 are based on balance of payments estimates.",Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,"Covers all movable goods, with a few specified exceptions, the ownership of which changes between a resident and a foreigner.",US Dollar
External Trade: Exports (fob),1802155386,2001,"From 1995 onward, data are based on balance of payments estimates. Data for 2000 are based on balance of payments estimates.",Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,"Covers all movable goods, with a few specified exceptions, the ownership of which changes between a resident and a foreigner.",US Dollar
External Trade: Imports,1513175850,1996,"From 1995 onward, data are based on balance of payments estimates. Data for 2000 are based on balance of payments estimates.",Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,"Covers all movable goods, with a few specified exceptions, the ownership of which changes between a resident and a foreigner.",US Dollar
External Trade: Imports,1480559400,1997,"From 1995 onward, data are based on balance of payments estimates. Data for 2000 are based on balance of payments estimates.",Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,"Covers all movable goods, with a few specified exceptions, the ownership of which changes between a resident and a foreigner.",US Dollar
External Trade: Imports,1124137366,1998,"From 1995 onward, data are based on balance of payments estimates. Data for 2000 are based on balance of payments estimates.",Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,"Covers all movable goods, with a few specified exceptions, the ownership of which changes between a resident and a foreigner.",US Dollar
External Trade: Imports,1073608296,1999,"From 1995 onward, data are based on balance of payments estimates. Data for 2000 are based on balance of payments estimates.",Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,"Covers all movable goods, with a few specified exceptions, the ownership of which changes between a resident and a foreigner.",US Dollar
External Trade: Imports,998864191.9,2000,"From 1995 onward, data are based on balance of payments estimates. Data for 2000 are based on balance of payments estimates.",Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,"Covers all movable goods, with a few specified exceptions, the ownership of which changes between a resident and a foreigner.",US Dollar
External Trade: Imports,933980972.2,2001,"From 1995 onward, data are based on balance of payments estimates. Data for 2000 are based on balance of payments estimates.",Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,"Covers all movable goods, with a few specified exceptions, the ownership of which changes between a resident and a foreigner.",US Dollar
Trade Balance,1014343330,1996,"From 1995 onward, data are based on balance of payments estimates. Data for 2000 are based on balance of payments estimates.",Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,Difference between exports and imports of goods and services.,US Dollar
Trade Balance,660653560.2,1997,"From 1995 onward, data are based on balance of payments estimates. Data for 2000 are based on balance of payments estimates.",Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,Difference between exports and imports of goods and services.,US Dollar
Trade Balance,663583447.1,1998,"From 1995 onward, data are based on balance of payments estimates. Data for 2000 are based on balance of payments estimates.",Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,Difference between exports and imports of goods and services.,US Dollar
Trade Balance,873668200.6,1999,"From 1995 onward, data are based on balance of payments estimates. Data for 2000 are based on balance of payments estimates.",Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,Difference between exports and imports of goods and services.,US Dollar
Trade Balance,1090519596,2000,"From 1995 onward, data are based on balance of payments estimates. Data for 2000 are based on balance of payments estimates.",Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,Difference between exports and imports of goods and services.,US Dollar
Trade Balance,868174413.9,2001,"From 1995 onward, data are based on balance of payments estimates. Data for 2000 are based on balance of payments estimates.",Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Globalization,Difference between exports and imports of goods and services.,US Dollar
Interest rate on savings deposits,4,1996,NULL,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,"Money, Finance and Prices",Rate paid by commercial and similar banks for savings deposits.,percent
Interest rate on savings deposits,3.75,1997,NULL,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,"Money, Finance and Prices",Rate paid by commercial and similar banks for savings deposits.,percent
Interest rate on savings deposits,4.125,1998,NULL,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,"Money, Finance and Prices",Rate paid by commercial and similar banks for savings deposits.,percent
Interest rate on savings deposits,4.125,1999,NULL,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,"Money, Finance and Prices",Rate paid by commercial and similar banks for savings deposits.,percent
Interest rate on savings deposits,3.875,2000,NULL,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,"Money, Finance and Prices",Rate paid by commercial and similar banks for savings deposits.,percent
Interest rate on savings deposits,3.875,2001,NULL,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,"Money, Finance and Prices",Rate paid by commercial and similar banks for savings deposits.,percent
Interest rate on time deposits of 6 months,6.5,1996,NULL,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,"Money, Finance and Prices",Rate paid by commercial and similar banks for time deposits in 6 months.,percent
Interest rate on time deposits of 6 months,6.5,1997,NULL,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,"Money, Finance and Prices",Rate paid by commercial and similar banks for time deposits in 6 months.,percent
Interest rate on time deposits of 6 months,8.75,1998,NULL,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,"Money, Finance and Prices",Rate paid by commercial and similar banks for time deposits in 6 months.,percent
Interest rate on time deposits of 6 months,8.5,1999,NULL,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,"Money, Finance and Prices",Rate paid by commercial and similar banks for time deposits in 6 months.,percent
Interest rate on time deposits of 6 months,8.75,2000,NULL,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,"Money, Finance and Prices",Rate paid by commercial and similar banks for time deposits in 6 months.,percent
Interest rate on time deposits of 6 months,8.5,2001,NULL,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,"Money, Finance and Prices",Rate paid by commercial and similar banks for time deposits in 6 months.,percent
Interest rate on time deposits of over 12 months,6.125,1996,NULL,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,"Money, Finance and Prices",Rate paid by commercial and similar banks for time deposits over 12 months.,percent
Interest rate on time deposits of over 12 months,6.875,1997,NULL,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,"Money, Finance and Prices",Rate paid by commercial and similar banks for time deposits over 12 months.,percent
Interest rate on time deposits of over 12 months,9,1998,NULL,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,"Money, Finance and Prices",Rate paid by commercial and similar banks for time deposits over 12 months.,percent
Interest rate on time deposits of over 12 months,9.25,1999,NULL,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,"Money, Finance and Prices",Rate paid by commercial and similar banks for time deposits over 12 months.,percent
Interest rate on time deposits of over 12 months,9.375,2000,NULL,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,"Money, Finance and Prices",Rate paid by commercial and similar banks for time deposits over 12 months.,percent
Interest rate on time deposits of over 12 months,8.625,2001,NULL,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,"Money, Finance and Prices",Rate paid by commercial and similar banks for time deposits over 12 months.,percent
Money Supply (M1),655684264.8,1996,NULL,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,"Money, Finance and Prices",Covers currency holdings by the public (currency in circulation) and demand deposits.,US Dollar
Money Supply (M1),639443103.8,1997,NULL,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,"Money, Finance and Prices",Covers currency holdings by the public (currency in circulation) and demand deposits.,US Dollar
Money Supply (M1),492527452.4,1998,NULL,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,"Money, Finance and Prices",Covers currency holdings by the public (currency in circulation) and demand deposits.,US Dollar
Money Supply (M1),479895128.7,1999,NULL,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,"Money, Finance and Prices",Covers currency holdings by the public (currency in circulation) and demand deposits.,US Dollar
Money Supply (M1),457090893.4,2000,NULL,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,"Money, Finance and Prices",Covers currency holdings by the public (currency in circulation) and demand deposits.,US Dollar
Money Supply (M1),386908416.7,2001,NULL,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,"Money, Finance and Prices",Covers currency holdings by the public (currency in circulation) and demand deposits.,US Dollar
Consumer Price Index,348.1,1996,NULL,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,"Money, Finance and Prices",Measures changes in prices against a reference period of a basket of goods and services purchased by households.,index
Consumer Price Index,361.9,1997,NULL,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,"Money, Finance and Prices",Measures changes in prices against a reference period of a basket of goods and services purchased by households.,index
Consumer Price Index,411,1998,NULL,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,"Money, Finance and Prices",Measures changes in prices against a reference period of a basket of goods and services purchased by households.,index
Consumer Price Index,472.4,1999,NULL,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,"Money, Finance and Prices",Measures changes in prices against a reference period of a basket of goods and services purchased by households.,index
Consumer Price Index,546.075,2000,NULL,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,"Money, Finance and Prices",Measures changes in prices against a reference period of a basket of goods and services purchased by households.,index
Consumer Price Index,596.85,2001,NULL,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,"Money, Finance and Prices",Measures changes in prices against a reference period of a basket of goods and services purchased by households.,index
Consumer price index (capital city),437.7,1998,NULL,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,"Money, Finance and Prices",NULL,index
Consumer price index (capital city),503.9,1999,NULL,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,"Money, Finance and Prices",NULL,index
Consumer price index (capital city),572.5,2000,NULL,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,"Money, Finance and Prices",NULL,index
Consumer price index (capital city),622.2,2001,NULL,Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,"Money, Finance and Prices",NULL,index
"Consumer Price Index, Food",323.4,1996,"Excludes alcoholic beverages, tobacco, and narcotics.",Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,"Money, Finance and Prices","Measures the change over time in the general level of prices of food and non-alcoholic beverage items that households acquire, use or pay for consumption.",index
"Consumer Price Index, Food",344.2,1997,"Excludes alcoholic beverages, tobacco, and narcotics.",Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,"Money, Finance and Prices","Measures the change over time in the general level of prices of food and non-alcoholic beverage items that households acquire, use or pay for consumption.",index
"Consumer Price Index, Food",390.2,1998,"Excludes alcoholic beverages, tobacco, and narcotics.",Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,"Money, Finance and Prices","Measures the change over time in the general level of prices of food and non-alcoholic beverage items that households acquire, use or pay for consumption.",index
"Consumer Price Index, Food",456.5,1999,"Excludes alcoholic beverages, tobacco, and narcotics.",Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,"Money, Finance and Prices","Measures the change over time in the general level of prices of food and non-alcoholic beverage items that households acquire, use or pay for consumption.",index
"Consumer Price Index, Food",518.5,2000,"Excludes alcoholic beverages, tobacco, and narcotics.",Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,"Money, Finance and Prices","Measures the change over time in the general level of prices of food and non-alcoholic beverage items that households acquire, use or pay for consumption.",index
"Consumer Price Index, Food",568.2,2001,"Excludes alcoholic beverages, tobacco, and narcotics.",Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,"Money, Finance and Prices","Measures the change over time in the general level of prices of food and non-alcoholic beverage items that households acquire, use or pay for consumption.",index
"Consumer Price Index, Non-Food",365.3,1996,"Includes alcoholic beverages, tobacco, and narcotics.",Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,"Money, Finance and Prices","Measures the change over time in the general level of prices of non-food items (e.g. housing, electricity, transportation, etc.) that households acquire, use or pay for consumption.",index
"Consumer Price Index, Non-Food",374.1,1997,"Includes alcoholic beverages, tobacco, and narcotics.",Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,"Money, Finance and Prices","Measures the change over time in the general level of prices of non-food items (e.g. housing, electricity, transportation, etc.) that households acquire, use or pay for consumption.",index
"Consumer Price Index, Non-Food",425.5,1998,"Includes alcoholic beverages, tobacco, and narcotics.",Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,"Money, Finance and Prices","Measures the change over time in the general level of prices of non-food items (e.g. housing, electricity, transportation, etc.) that households acquire, use or pay for consumption.",index
"Consumer Price Index, Non-Food",483.4,1999,"Includes alcoholic beverages, tobacco, and narcotics.",Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,"Money, Finance and Prices","Measures the change over time in the general level of prices of non-food items (e.g. housing, electricity, transportation, etc.) that households acquire, use or pay for consumption.",index
"Consumer Price Index, Non-Food",565.7901,2000,"Includes alcoholic beverages, tobacco, and narcotics.",Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,"Money, Finance and Prices","Measures the change over time in the general level of prices of non-food items (e.g. housing, electricity, transportation, etc.) that households acquire, use or pay for consumption.",index
"Consumer Price Index, Non-Food",617.18612,2001,"Includes alcoholic beverages, tobacco, and narcotics.",Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,"Money, Finance and Prices","Measures the change over time in the general level of prices of non-food items (e.g. housing, electricity, transportation, etc.) that households acquire, use or pay for consumption.",index
Gross National Income at Current Prices,4917669891,1996,NULL,National Statistical Office,Papua New Guinea,PNG,The Pacific,Economy and Output,GDP minus primary incomes payable to nonresident units plus primary incomes receivable from nonresident units.,US Dollar
Gross National Income at Current Prices,4707400015,1997,NULL,National Statistical Office,Papua New Guinea,PNG,The Pacific,Economy and Output,GDP minus primary incomes payable to nonresident units plus primary incomes receivable from nonresident units.,US Dollar
Gross National Income at Current Prices,3597721825,1998,NULL,National Statistical Office,Papua New Guinea,PNG,The Pacific,Economy and Output,GDP minus primary incomes payable to nonresident units plus primary incomes receivable from nonresident units.,US Dollar
Gross National Income at Current Prices,3293993628,1999,NULL,National Statistical Office,Papua New Guinea,PNG,The Pacific,Economy and Output,GDP minus primary incomes payable to nonresident units plus primary incomes receivable from nonresident units.,US Dollar
Net Factor Income from Abroad at Current Prices,-233344452.2,1996,NULL,National Statistical Office,Papua New Guinea,PNG,The Pacific,Economy and Output,The total value of primary income receivable from outside domestic boundaries less the total value payable to nonresidents.,US Dollar
Net Factor Income from Abroad at Current Prices,-215859858,1997,NULL,National Statistical Office,Papua New Guinea,PNG,The Pacific,Economy and Output,The total value of primary income receivable from outside domestic boundaries less the total value payable to nonresidents.,US Dollar
Net Factor Income from Abroad at Current Prices,-165558283,1998,NULL,National Statistical Office,Papua New Guinea,PNG,The Pacific,Economy and Output,The total value of primary income receivable from outside domestic boundaries less the total value payable to nonresidents.,US Dollar
Net Factor Income from Abroad at Current Prices,-140074763.6,1999,NULL,National Statistical Office,Papua New Guinea,PNG,The Pacific,Economy and Output,The total value of primary income receivable from outside domestic boundaries less the total value payable to nonresidents.,US Dollar
Overall surplus/deficit,-66261893.62,1998,"Figures exclude non-budgetary surplus/deficit, hence the item refers to overall budgetary surplus/deficit.",Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Government and Governance,Difference between total revenue (including grants) and total expenditure (including net lending).,US Dollar
Overall surplus/deficit,-90400930.46,1999,"Figures exclude non-budgetary surplus/deficit, hence the item refers to overall budgetary surplus/deficit.",Bank of Papua New Guinea,Papua New Guinea,PNG,The Pacific,Government and Governance,Difference between total revenue (including grants) and total expenditure (including net lending).,US Dollar
